3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,"Rolling mean, w=40","Rolling mean, w=10","Weighted rolling mean, a=0.05",,
2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,0
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,#N/A,2,2,0.06,
